company_id,founded_year,company_age_years,category,country,funding_round,funding_total_usd_M,num_funding_rounds,num_employees,num_investors,num_milestones,num_relationships,top_tier_investor,revenue_proxy,market_size,has_patent,founder_experience,status
C0000,2014,10,AI/ML,Germany,Series C,18.41,4,242,8,7,9,0,2.9,1,0,2,operating
C0001,2000,24,Gaming,China,Series A,0.42,2,44,4,16,5,0,0.4,2,0,3,operating
C0002,2002,22,FinTech,Singapore,Series D+,83.16,6,1575,11,13,11,0,3.5,1,0,4,operating
C0003,2007,17,AI/ML,Japan,Seed,0.34,2,6,3,10,3,0,0.0,3,0,2,operating
C0004,2015,9,FinTech,Netherlands,Series A,4.51,3,123,6,8,5,0,1.1,2,0,5,operating
C0005,2000,24,AgriTech,South Korea,Seed,0.11,2,2,2,16,1,0,0.2,3,0,4,operating
C0006,2007,17,AI/ML,Singapore,Series A,2.19,3,15,6,11,7,0,0.9,1,0,1,acquired
C0007,2013,11,AI/ML,Sweden,Series A,0.42,3,40,5,9,6,1,0.2,2,0,5,operating
C0008,2003,21,AgriTech,Australia,IPO,934.64,7,2458,11,13,8,1,4.4,1,0,3,operating
C0009,2006,18,Hardware,France,Series D+,217.73,5,227,11,14,8,1,3.7,2,0,2,operating
C0010,2014,10,Gaming,Israel,Seed,0.49,2,2,0,10,0,0,0.4,3,1,1,operating
C0011,2021,3,Biotech,India,Seed,0.95,2,2,1,4,3,0,1.1,1,0,1,closed
C0012,2019,5,CleanTech,China,IPO,703.98,7,1187,10,1,11,0,4.9,2,0,2,operating
C0013,2018,6,E-Commerce,Sweden,Series A,3.51,3,5,2,4,4,0,1.0,2,0,2,acquired
C0014,2016,8,FinTech,Japan,Seed,0.48,1,7,0,5,2,0,0.3,1,0,4,operating
C0015,2002,22,FoodTech,Singapore,IPO,150.56,7,778,12,17,9,1,4.5,1,0,3,operating
C0016,2015,9,Software,USA,Seed,0.15,2,3,4,6,4,0,0.0,2,0,1,closed
C0017,2003,21,Logistics,UK,Seed,0.19,2,6,4,17,3,0,0.3,2,0,4,operating
C0018,2000,24,EdTech,France,Series A,3.02,2,11,3,16,5,1,1.2,2,0,2,operating
